Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
04/12/2019,NFLX190412C00250000,0,0,109.95,112.95,0,1.5132,0.9915,0.0004,3,250.000,NFLX190412P00250000,0.01,0,0,0.01,48,1.0635,-0.0004,0,82
04/12/2019,NFLX190412C00255000,0,0,105.05,107.95,0,1.3332,0.9946,0.0003,0,255.000,NFLX190412P00255000,0,0,0,0.02,0,1.0635,-0.0008,0.0001,1
04/12/2019,NFLX190412C00260000,0,0,99.95,102.95,0,1.3639,0.9909,0.0005,0,260.000,NFLX190412P00260000,0,0,0,0.03,0,1.0635,-0.0013,0.0001,1
04/12/2019,NFLX190412C00265000,0,0,95.1,97.9,0,1.2915,0.9905,0.0005,0,265.000,NFLX190412P00265000,0,0,0,0.05,0,1.0479,-0.002,0.0002,184
04/12/2019,NFLX190412C00270000,92.7,-3.775,89.95,92.95,3,1.2216,0.99,0.0006,4,270.000,NFLX190412P00270000,0,0,0,0.06,0,0.9215,-0.0011,0.0001,29
04/12/2019,NFLX190412C00275000,0,0,84.95,87.95,0,1.1521,0.9896,0.0006,1,275.000,NFLX190412P00275000,0,0,0,0.06,0,0.9516,-0.0027,0.0002,27
04/12/2019,NFLX190412C00280000,0,0,79.95,82.95,0,1.1241,0.9866,0.0008,62,280.000,NFLX190412P00280000,0,0,0,0.02,1,0.8,-0.001,0.0001,185
04/12/2019,NFLX190412C00285000,0,0,75.05,77.95,0,1.1018,0.9823,0.001,3,285.000,NFLX190412P00285000,0.01,0,0,0.07,1,0.8351,-0.003,0.0003,442
04/12/2019,NFLX190412C00290000,0,0,70,72.95,0,0.987,0.985,0.001,18,290.000,NFLX190412P00290000,0.01,0.005,0,0.07,8,0.7943,-0.0037,0.0004,96
04/12/2019,NFLX190412C00295000,0,0,65.05,67.95,0,0.9313,0.9829,0.0012,4,295.000,NFLX190412P00295000,0,0,0,0.07,0,0.7389,-0.004,0.0004,83
04/12/2019,NFLX190412C00300000,61.6,-4.8,61.1,61.8,5,0.8885,0.9792,0.0015,42,300.000,NFLX190412P00300000,0.05,0.015,0,0.04,6,0.604,-0.0015,0.0002,382
04/12/2019,NFLX190412C00305000,0,0,55.05,57.95,0,0.7853,0.9818,0.0015,1,305.000,NFLX190412P00305000,0.06,0.025,0,0.08,1,0.6271,-0.0046,0.0006,468
04/12/2019,NFLX190412C00307500,0,0,52.5,55.5,0,0.7522,0.9812,0.0016,10,307.500,NFLX190412P00307500,0,0,0,0.08,0,0.5993,-0.0047,0.0006,2
04/12/2019,NFLX190412C00310000,0,0,50.05,53,0,0.7264,0.9795,0.0018,12,310.000,NFLX190412P00310000,0.01,-0.02,0,0.02,29,0.5139,-0.0021,0.0003,323
04/12/2019,NFLX190412C00312500,0,0,47.75,50.45,0,0.6866,0.9797,0.0019,10,312.500,NFLX190412P00312500,0,0,0,0.08,0,0.5371,-0.0047,0.0007,5
04/12/2019,NFLX190412C00315000,0,0,45.05,48,0,0.6726,0.9759,0.0022,16,315.000,NFLX190412P00315000,0.02,-0.015,0,0.03,17,0.4706,-0.0025,0.0004,391
04/12/2019,NFLX190412C00317500,0,0,42.6,45.45,0,0.6635,0.9704,0.0027,0,317.500,NFLX190412P00317500,0.05,0,0,0.09,50,0.493,-0.0058,0.0009,64
04/12/2019,NFLX190412C00320000,41.5,-5.225,41.05,41.75,101,0.5962,0.9756,0.0025,211,320.000,NFLX190412P00320000,0.09,0.025,0,0.03,183,0.4479,-0.0046,0.0008,923
04/12/2019,NFLX190412C00322500,40.18,-4.02,37.55,40.45,1,0.5442,0.9781,0.0025,9,322.500,NFLX190412P00322500,0.08,0.01,0.01,0.08,51,0.4512,-0.0077,0.0012,277
04/12/2019,NFLX190412C00325000,0,0,35.15,38,0,0.5351,0.9721,0.0031,13,325.000,NFLX190412P00325000,0.06,-0.01,0.05,0.1,143,0.4539,-0.0122,0.0018,691
